message_id,action,message_type,reason,confidence,evidence_message_ids
msg_105,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.86,message_0233;message_0373;message_0122
msg_002,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.80,message_0003;message_0041;message_0266
msg_010,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.72,message_0011;message_0242;message_0075
msg_078,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.80,none
msg_013,mute,urgent,The message was routed based on its content and the user's history.,0.80,none
msg_018,digest,urgent,"The message sounds urgent, but the user has muted or reported this sender before, so it waits in the digest.",0.86,message_0092;message_0026
msg_044,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.84,message_0143;message_0144
msg_032,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.72,message_0374;message_0285;message_0119
msg_106,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.86,message_0234;message_0376
msg_006,notify,personal,The sender directly asks this user for a response or action.,0.80,message_0271;message_0029;message_0044
msg_109,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.84,message_0151;message_0152;message_0271
msg_108,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.84,message_0094;message_0093
msg_019,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.84,message_0275;message_0094;message_0277
msg_088,mute,personal,"The user has previously muted or reported this sender, so the message is kept silent.",0.75,message_0232;message_0224;message_0383
msg_056,mute,event,The update comes from a source this user has muted or consistently ignored.,0.90,message_0167
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.80,message_0007;message_0033;message_0109
msg_050,notify,event,A same-day operational update needs the user's attention before the window closes.,0.86,message_0155;message_0278;message_0279
msg_083,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.85,message_0219
msg_063,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.80,none
msg_033,digest,greeting,The message is a harmless greeting that can be read later.,0.80,message_0121
msg_061,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.80,message_0042;message_0193;message_0080
msg_020,notify,urgent,The message contains a direct deadline or time-critical dependency for the user.,0.82,none
msg_017,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.80,none
msg_058,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.80,message_0078;message_0040;message_0039
msg_026,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.84,message_0032;message_0107
msg_047,mute,personal,"The user has previously muted or reported this sender, so the message is kept silent.",0.80,message_0151;message_0001;message_0068
msg_046,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.84,message_0148;message_0024;message_0147
msg_042,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.86,message_0058;message_0140;message_0217
msg_079,notify,urgent,The message contains a direct deadline or time-critical dependency for the user.,0.80,message_0023;message_0045
msg_098,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.84,message_0168;message_0054;message_0226
msg_037,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.80,message_0001
msg_007,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.72,message_0275;message_0276
msg_085,mute,scam,This is the first message from the sender and it asks for sensitive verification or payment.,0.79,message_0263;message_0023;message_0045
msg_001,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.80,message_0057;message_0139;message_0078
msg_021,digest,payment,A payment-related update is informational and does not need to interrupt the user right now.,0.84,message_0068;message_0029;message_0001
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.80,message_0034;message_0017;message_0112
msg_012,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.80,message_0194;message_0247;message_0079
msg_064,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.84,message_0087;message_0148;message_0183
msg_103,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.90,message_0065;message_0049;message_0066
msg_031,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.80,message_0036;message_0249;message_0228
msg_057,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.80,message_0003;message_0169;message_0059
msg_087,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.75,message_0164;message_0212
msg_067,notify,personal,The sender directly asks this user for a response or action.,0.72,message_0271;message_0029;message_0068
msg_039,notify,personal,The sender directly asks this user for a response or action.,0.86,message_0037;message_0051;message_0002
msg_082,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.75,message_0218;message_0397
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.86,message_0034;message_0017;message_0112
msg_049,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.80,message_0153;message_0154;message_0291
msg_015,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.84,message_0023;message_0045
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.86,message_0034;message_0017;message_0112
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.90,message_0054;message_0167;message_0106
msg_089,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.82,none
msg_053,digest,forward,A forwarded message may interest the user but does not need an immediate interruption.,0.72,message_0087;message_0411;message_0253
msg_059,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.84,message_0086;message_0214;message_0196
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.86,message_0034;message_0017;message_0112
msg_072,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.84,message_0023;message_0053;message_0045
msg_036,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.90,message_0127;message_0283;message_0128
msg_076,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.84,message_0208;message_0207;message_0159
msg_055,notify,urgent,The message contains a direct deadline or time-critical dependency for the user.,0.80,message_0166;message_0387
msg_102,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.86,message_0230;message_0371;message_0059
msg_080,notify,personal,The sender directly asks this user for a response or action.,0.72,message_0130;message_0190;message_0142
msg_093,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.77,message_0347;message_0348;message_0387
msg_034,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.80,message_0167;message_0013;message_0014
msg_035,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.72,message_0127;message_0128;message_0283
msg_101,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.77,message_0370;message_0229;message_0061
msg_041,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.80,message_0004;message_0239;message_0138
msg_011,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.86,message_0014;message_0013;message_0077
msg_110,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.84,message_0238;message_0320
msg_095,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.90,message_0087;message_0024;message_0088
msg_074,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.86,message_0389;message_0203;message_0164
msg_073,digest,urgent,"The message sounds urgent, but the user has muted or reported this sender before, so it waits in the digest.",0.86,message_0147;message_0088;message_0184
msg_054,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.84,message_0164;message_0389;message_0212
msg_068,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.72,message_0191
msg_100,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.86,message_0228;message_0249;message_0362
msg_062,digest,forward,A forwarded message may interest the user but does not need an immediate interruption.,0.77,message_0043
msg_096,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.76,none
msg_043,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.80,message_0130;message_0001;message_0190
msg_077,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.81,message_0037;message_0051;message_0255
msg_081,notify,personal,The sender directly asks this user for a response or action.,0.81,message_0058;message_0140;message_0217
msg_025,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.80,message_0004;message_0105;message_0106
msg_084,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.75,message_0220
msg_022,mute,payment,The payment prompt comes from a source this user has already muted or reported.,0.84,message_0151;message_0271;message_0068
